Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
15,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
16,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
17,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
18,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
19,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
20,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
21,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
22,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
23,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
24,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
25,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
26,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
27,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
28,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
29,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
30,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
31,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
32,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
33,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
34,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
35,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
36,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
37,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
38,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
39,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
40,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
41,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
42,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
43,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
44,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
45,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
46,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
47,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
48,0.000000,0.000000,0.976905,0.991531,0.986744,0.981888,0.965945,0.855396,0.968292,0.977886,0.981879,89.810812,
